geoId,stf,st,ctf,name
0500000US01001,1,AL,1,Autauga County
0500000US01003,1,AL,3,Baldwin County
0500000US01005,1,AL,5,Barbour County
0500000US01007,1,AL,7,Bibb County
0500000US01009,1,AL,9,Blount County
0500000US01011,1,AL,11,Bullock County
0500000US01013,1,AL,13,Butler County
0500000US01015,1,AL,15,Calhoun County
0500000US01017,1,AL,17,Chambers County
0500000US01019,1,AL,19,Cherokee County
0500000US01021,1,AL,21,Chilton County
0500000US01023,1,AL,23,Choctaw County
0500000US01025,1,AL,25,Clarke County
0500000US01027,1,AL,27,Clay County
0500000US01029,1,AL,29,Cleburne County
0500000US01031,1,AL,31,Coffee County
0500000US01033,1,AL,33,Colbert County
0500000US01035,1,AL,35,Conecuh County
0500000US01037,1,AL,37,Coosa County
0500000US01039,1,AL,39,Covington County
0500000US01041,1,AL,41,Crenshaw County
0500000US01043,1,AL,43,Cullman County
0500000US01045,1,AL,45,Dale County
0500000US01047,1,AL,47,Dallas County
0500000US01049,1,AL,49,DeKalb County
0500000US01051,1,AL,51,Elmore County
0500000US01053,1,AL,53,Escambia County
0500000US01055,1,AL,55,Etowah County
0500000US01057,1,AL,57,Fayette County
0500000US01059,1,AL,59,Franklin County
0500000US01061,1,AL,61,Geneva County
0500000US01063,1,AL,63,Greene County
0500000US01065,1,AL,65,Hale County
0500000US01067,1,AL,67,Henry County
0500000US01069,1,AL,69,Houston County
0500000US01071,1,AL,71,Jackson County
0500000US01073,1,AL,73,Jefferson County
0500000US01075,1,AL,75,Lamar County
0500000US01077,1,AL,77,Lauderdale County
0500000US01079,1,AL,79,Lawrence County
0500000US01081,1,AL,81,Lee County
0500000US01083,1,AL,83,Limestone County
0500000US01085,1,AL,85,Lowndes County
0500000US01087,1,AL,87,Macon County
0500000US01089,1,AL,89,Madison County
0500000US01091,1,AL,91,Marengo County
0500000US01093,1,AL,93,Marion County
0500000US01095,1,AL,95,Marshall County
0500000US01097,1,AL,97,Mobile County
0500000US01099,1,AL,99,Monroe County
0500000US01101,1,AL,101,Montgomery County
0500000US01103,1,AL,103,Morgan County
0500000US01105,1,AL,105,Perry County
0500000US01107,1,AL,107,Pickens County
0500000US01109,1,AL,109,Pike County
0500000US01111,1,AL,111,Randolph County
0500000US01113,1,AL,113,Russell County
0500000US01115,1,AL,115,St. Clair County
0500000US01117,1,AL,117,Shelby County
0500000US01119,1,AL,119,Sumter County
0500000US01121,1,AL,121,Talladega County
0500000US01123,1,AL,123,Tallapoosa County
0500000US01125,1,AL,125,Tuscaloosa County
0500000US01127,1,AL,127,Walker County
0500000US01129,1,AL,129,Washington County
0500000US01131,1,AL,131,Wilcox County
0500000US01133,1,AL,133,Winston County
0500000US02013,2,AK,13,Aleutians East Borough
0500000US02016,2,AK,16,Aleutians West Census Area
0500000US02020,2,AK,20,Anchorage Municipality
0500000US02050,2,AK,50,Bethel Census Area
0500000US02060,2,AK,60,Bristol Bay Borough
0500000US02068,2,AK,68,Denali Borough
0500000US02070,2,AK,70,Dillingham Census Area
0500000US02090,2,AK,90,Fairbanks North Star Borough
0500000US02100,2,AK,100,Haines Borough
0500000US02105,2,AK,105,Hoonah-Angoon Census Area
0500000US02110,2,AK,110,Juneau City and Borough
0500000US02122,2,AK,122,Kenai Peninsula Borough
0500000US02130,2,AK,130,Ketchikan Gateway Borough
0500000US02150,2,AK,150,Kodiak Island Borough
0500000US02164,2,AK,164,Lake and Peninsula Borough
0500000US02170,2,AK,170,Matanuska-Susitna Borough
0500000US02180,2,AK,180,Nome Census Area
0500000US02185,2,AK,185,North Slope Borough
0500000US02188,2,AK,188,Northwest Arctic Borough
0500000US02195,2,AK,195,Petersburg Census Area
0500000US02198,2,AK,198,Prince of Wales-Hyder Census Area
0500000US02220,2,AK,220,Sitka City and Borough
0500000US02230,2,AK,230,Skagway Municipality
0500000US02240,2,AK,240,Southeast Fairbanks Census Area
0500000US02261,2,AK,261,Valdez-Cordova Census Area
0500000US02270,2,AK,270,Wade Hampton Census Area
