geoId,inj,fat,dollarloss
0500000US29189,624,26,211311550
0500000US17119,93,3,125750000
0500000US17135,25,3,5255000
0500000US39161,52,6,43675000
0500000US05113,67,4,183716050
0500000US29093,61,3,6103000
0500000US17091,79,3,66925000
0500000US48047,2,0,10000
0500000US48039,51,0,16772800
0500000US48201,321,12,949909500
0500000US48423,101,4,61966000
0500000US48067,10,0,4235600
0500000US48343,7,0,811500
0500000US48037,46,3,135712100
0500000US48143,2,0,52152600
0500000US48293,107,7,57814000
0500000US48419,71,3,11056050
0500000US28145,184,24,85055000
0500000US05053,14,2,18890000
0500000US22031,218,24,119075100
0500000US22017,373,31,183802000
0500000US22015,541,35,625746000
0500000US22119,94,20,14166500
0500000US22081,38,10,3770500
0500000US22085,42,7,11331500
0500000US22069,116,9,33117000
0500000US22013,39,5,102471000
0500000US22027,42,7,16435000
0500000US05139,30,3,65710000
0500000US22035,85,13,32353000
0500000US47157,159,10,201535500
0500000US47097,28,10,5036550
0500000US40109,984,45,1562511100
0500000US28075,113,3,30747500
0500000US12109,20,0,9123550
0500000US22019,33,0,27675650
0500000US22005,15,1,6775000
0500000US22051,91,4,27915600
0500000US22075,11,0,1197500
0500000US05019,127,6,18300500
0500000US05059,72,0,60685000
0500000US05065,179,20,128170050
0500000US05119,780,48,713711100
0500000US05117,113,13,65861000
0500000US05147,537,36,25533000
0500000US40121,46,1,12854500
0500000US28053,1308,97,60797500
0500000US28007,367,36,536924050
0500000US28049,659,66,152511000
0500000US28121,1002,111,256771500
0500000US28123,946,105,130387000
0500000US28079,834,85,786488000
0500000US28099,740,76,755723000
0500000US28101,76,1,91896000
0500000US22037,3,0,2230000
0500000US28025,42,2,17111000
0500000US28141,10,0,5225000
0500000US47177,5,4,4200000
0500000US17113,8,0,44329700
0500000US05067,762,48,63761550
0500000US40081,354,16,143450800
0500000US05093,567,42,57785500
0500000US40143,571,30,859876700
0500000US01097,53,1,10442050
0500000US01003,99,0,16666100
0500000US45015,26,1,8542600
0500000US40075,7,2,8926150
0500000US40149,32,2,130410600
0500000US20031,27,2,11270550
0500000US48059,26,5,17265550
0500000US40063,62,7,14155650
0500000US40029,2,2,1991050
0500000US28091,78,3,36549000
0500000US48093,21,0,57432150
0500000US28063,242,32,4053000
0500000US28001,44,0,9333500
0500000US22127,63,3,67518000
0500000US22029,39,0,8482500
0500000US22059,109,11,65765000
0500000US22043,88,11,13560000
0500000US22025,19,1,16348050
0500000US20165,8,0,1696000
0500000US48357,45,2,18774550
0500000US19129,14,2,6676050
0500000US40009,14,1,36239700
0500000US40039,19,4,65342700
0500000US40153,32,6,2339550
0500000US20009,50,4,51797600
0500000US20145,3,0,5193000
0500000US20085,23,4,10935550
0500000US20013,17,0,10912550
0500000US40045,35,6,8483750
0500000US40073,220,10,14491600
0500000US40119,85,3,32331050
0500000US46067,0,0,1880550
0500000US12127,154,27,289941350
0500000US20123,12,1,18852500
0500000US20089,4,0,19264050
0500000US19137,1,0,2905000
0500000US20141,24,1,13525000
0500000US20029,15,1,61740550
0500000US20157,3,0,18597000
0500000US31127,9,1,1790050
0500000US20161,62,0,78250500
0500000US40123,96,8,33195150
0500000US56041,0,0,10050
0500000US40007,15,2,2642700
0500000US37147,224,18,63705000
0500000US37183,300,11,678073000
